,Raga,Arohanam,Avarohanam
597,Poorvagowla,S G3 R2 G3 S R2 M1 P D2 N3 S,S N3 D2 P M1 G3 R2 S
598,Rathnabhooshani,S R2 G3 M1 P S,S P M1 G3 R2 S
599,Reetuvilasa,S G3 M1 P D2 N3 S,S N3 D2 P M1 G3 S
600,Saranga Mallar,S R2 M1 P D2 N3 S,S N3 D2 P M1 R2 S N3 S
601,Shankara,S G3 P S,S N3 D2 P G3 P R2 G3 S
602,Shankaraharigowla,S R2 G3 M1 P D2 N3 S,S N2 D2 P M1 G3 R2 S
603,Shankaramohana,S R2 G3 P N3 D2 S N3,S D2 P G3 R2 S
604,Shankari,S G3 P N3 S,S N3 P G3 S
605,Sindhu,S M1 P D2 S,S N3 D2 M1 P M1 G3 R2 S
606,Sindhu Mandari,S R2 G3 M1 P S,S N3 D2 P G3 M1 P M1 R2 S
607,Suddha Malavi,S R2 G3 M1 P N3 S,S D2 N3 P M1 G3 R2 S
608,Suddha Sarang,S R2 G3 M1 P D2 N3 D2 S,S D2 P M1 R2 G3 R2 S
609,Suddha Saveri,S R2 M1 P D2 S,S D2 P M1 R2 S
610,Suddha Vasantha,S R2 G3 M1 P N3 S,S N3 D2 N3 P M1 G3 S
611,Suranandini,S R2 G3 P D2 N3 S,S N3 D2 P G3 R2 S
612,Suraranjani,S G3 P R2 M1 D2 S,S N3 D2 P M1 G3 R2 S
613,Tandavam,S G3 P D2 N3 S,S N3 D2 P G3 S
614,Vallabhi,S R2 G3 M1 P D2 N3 S,S N3 D2 N3 D2 P M1 P G3 M1 R2 S
615,Vasanthamalai,S R2 M1 P N3 S,S D2 P M1 R2 S
616,Vedhandhagamana,S G3 M1 P N3 S,S N3 P M1 G3 S
617,Veerapratapa,S G3 M1 P D2 S,S N3 D2 P M1 G3 R2 S
618,Vilasini,S R2 G3 M1 P N3 S,S N3 P M1 G3 R2 S
619,30 Naganandhini,S R2 G3 M1 P D3 N3 S,S N3 D3 P M1 G3 R2 S
620,Nagabharanam,S R2 G2 M1 P D3 N3 S,S N3 D3 P M1 G2 R2 S
621,Gambheeravani,S G3 P M1 D3 N3 S,S N3 P M1 G3 R2 G3 R2 S
622,Lalithagandharva,S R2 G3 M1 P D3 N3 S,S N3 P G3 R2 S
623,Samanta,S R2 G3 M1 P D3 N3 S,S N3 D3 N3 D3 P M1 G3 R2 S
624,Thilang,S G3 M1 P N3 S,S N2 P M1 G3 S
625,31 Yagapriya,S R3 G3 M1 P D1 N1 S,S N1 D1 P M1 G3 R3 S
626,Kalavathi,S R3 G3 M1 P D1 N1 S,S N1 D1 P M1 G3 R3 S
627,Damarugapriya,S R3 G3 P D1 N1 S,S N1 D1 P G3 R3 S
628,Desharanjani,S R3 M1 P D1 N1 S,S N1 D1 P M1 R3 S
629,Deshyathodi,S G2 M1 P D1 N2 S,S N2 D1 P M1 G2 R1 S
630,Kalahamsa,S R3 G3 M1 P D1 S,S N1 D1 P M1 G3 R3 S
631,Niranjani,S R3 M1 D1 N1 S,S N1 D1 M1 R3 S
632,Prathapahamsi,S G3 M1 P N1 D1 N1 S,S N1 D1 P M1 G3 M1 R3 S
633,32 Ragavardhani,S R3 G3 M1 P D1 N2 S,S N2 D1 P M1 G3 R3 S
634,Ragachoodamani,S R3 G3 M1 P N2 S,S N2 D1 M1 R3 G3 S
635,Amudagandhari,S G3 M1 P D1 N2 S,S N2 D1 P M1 G3 R3 S
636,Dhowmya,S R3 G3 M1 P D1 N2 P S,S N2 D1 P M1 G3 R3 S
637,Hindoladarbar,S G3 M1 P S,S N2 D1 P M1 R3 S
638,Ramya,S R3 G3 M1 P D1 N2 P S,S N2 D1 P M1 G3 R3 S
639,Samantajingala,S R3 G3 M1 P D1 N2 S,S N2 P D1 N2 P M1 G3 M1 R3 G3 S
640,33 Gangeyabhushani,S R3 G3 M1 P D1 N3 S,S N3 D1 P M1 G3 R3 S
641,Gangatarangini,S R3 G3 M1 P D1 N3 S,S N3 D1 P M1 M1 G3 M1 R3 S
642,34 Vagadeeshwari,S R3 G3 M1 P D2 N2 S,S N2 D2 P M1 G3 R3 S
643,Bhogachaya Nattai,S R3 G3 R3 G3 M1 P N2 N2 S,S N2 D2 N2 P S N2 P M1 M1 R3 S
644,Bhanumanjari,S R3 G3 M1 P N2 S,S N2 P M1 R3 G3 R3 S
645,Chayanattai,S R3 G3 M1 P M1 P S,S N2 D2 N2 P M1 R3 S
646,Maghathi,S R3 M1 P D2 N2 S,S N2 D2 P M1 R3 S
647,Dravida Kalavati,S R3 G3 P D2 S,S N2 D2 P G3 R3 S
648,Mohanangi,S R3 G3 P D2 S,S D2 P G3 P D2 P G3 R3 S
649,Murali,S R3 G3 M1 D2 N2 S,S N2 D2 M1 G3 R3 S
650,Sharadabharana,S M1 G3 M1 P M1 D2 N2 S,S N2 D2 M1 P M1 R3 S
651,Vikhavathi,S R3 G3 P D2 S,S D2 P G3 R3 S
652,35 Shulini,S R3 G3 M1 P D2 N3 S,S N3 D2 P M1 G3 R3 S
653,Shailadeshakshhi,S M1 G3 P D2 S,S N3 D2 S N3 P M1 G3 S
654,Dheerahindolam,S G3 M1 D2 N3 S,S N3 D2 P M1 G3 R3 S
655,Ganavaridhi,S M1 R3 G3 M1 P D2 N2 S,S D2 N2 P M1 R3 S
655,Ganavaridhi,S M1 R3 G3 M1 P D2 N3 S,S D2 N3 P M1 R3 S
656,Shokavarali,S G3 D2 N3,D2 P M1 G3 R3 S
657,36 Chalanattai,S R3 G3 M1 P D3 N3 S,S N3 D3 P M1 G3 R3 S
658,Devanattai,S G3 M1 P S,S N3 D3 P M1 G3 R3 S
659,Gambheeranattai,S G3 M1 P N3 S,S N3 P M1 G3 S
660,Ganaranjani,S R3 G3 M1 P M1 D3 N3 S,S N3 D3 P M1 P M1 R3 S
661,Nattai,S R3 G3 M1 P N3 S,S N3 P M1 G3 R3 S
662,37 Salagam,S R1 G1 M2 P D1 N1 S,S N1 D1 P M2 G1 R1 S
663,Sowgandhini,S R1 M2 P D1 S,S N1 D1 P M2 G1 R1 S
664,Bhogasaveri,S R1 M2 D1 N1,D1 P M2 G1 R1 S
665,38 Jalarnavam,S R1 G1 M2 P D1 N2 S,S N2 D1 P M2 G1 R1 S
666,Jaganmohinam,S R1 G1 M2 P D1 N2 S,S N2 D1 P M2 G1 R1 S
667,Jaganmohana,S R1 G1 M2 P D2 S,S N2 D1 P M2 G1 R1 S
668,39 Jhalavarali,S R1 G1 M2 P D1 N3 S,S N3 D1 P M2 G1 R1 S
669,Dhalivarali,S R1 G1 M2 P D1 N3 S,S N3 D1 P M2 G1 R1 S
670,Bhoopalapanchamam,S G1 R1 G1 P M2 D1 S,S P D1 M2 G1 R1 S
671,Godari,S R1 G1 R1 M2 G1 M2 P D1 N3 S,S N3 D1 P M2 R1 S
672,Jalasugandhi,S R1 G1 M2 P D1 S,S D1 P M2 G1 R1 S
673,Janavali,S G2 R1 G2 M2 P D1 N3 D1 S,S N3 D1 P M2 G2 R1 S
674,Karunamritavarshini,S R1 G1 M2 P D1 N3 P S,S N3 D1 M2 G1 R1 S
675,Kokilapanchamam,S G1 R1 G1 P D1 N3 S,S N3 D1 P M2 G1 R1 S
676,Varali,S G1 R1 G1 M2 P D1 N3 S,S N3 D1 P M2 G1 R1 S
677,40 Navaneetham,S R1 G1 M2 P D2 N2 S,S N2 D2 P M2 G1 R1 S
678,Nabhomani,S G1 R1 G1 M2 P S,S N2 D2 P M2 G1 R1 S
679,41 Pavani,S R1 G1 M2 P D2 N3 S,S N3 D2 P M2 G1 R1 S
680,Kumbhini,S G1 R1 G1 M2 P N3 D2 N3 S,S N3 D2 P M2 G1 R1 S
681,Chandrajyothi,S R1 G1 M2 P D2 S,S D2 P M2 G1 R1 S
682,Prabhavali,S R1 M2 P D2 N3 S,S N3 D2 M2 P M2 R1 G1 R1 S
683,Poornalalitha,S R1 M2 G1 R1 M2 P N3 D2 N3 S,S N3 D2 P M2 G1 R1 S
684,Poornapanchamam,"(See 15, 16) S R1 G1 M2 P D2",D2 P M2 G1 R1 S
685,42 Raghupriyaa,S R1 G1 M2 P D3 N3 S,S N3 D3 P M2 G1 R1 S
686,Ravi Kriya,S G1 R1 G1 M2 P D3 N3 S,S N3 P M2 G1 R1 S
687,Gandharva,M2 P D3 N3 S R1 G1,R1 S N3 P M2 P
688,Gomathi,S R1 G1 M2 P D3 N3,P M2 G1 R1 S
689,Raghuleela,S M2 R1 P M2 G1 M2 P M2 R1 M2 P N3 S,S N3 D3 N3 P M2 G1 M2 R1 M2 G1 R1 S
690,43 Ghavambhodi,S R1 G2 M2 P D1 N1 S,S N1 D1 P M2 G2 R1 S
691,Geervani,S R1 G2 M2 P D1 N1 S,S N1 D1 P M2 G2 R1 S
692,Kanchanabowli,S G2 M2 P D1 S,S N1 D1 P M1 G2 R1 S
693,Mahathi,S G2 M2 P D1 N1 S,S N1 D1 P M2 G2 S
694,Mechagandhari,S R3 G3 M1 P D2 N2 S,S N2 D2 N2 P M1 G3 M1 R3 S
695,Suvarnadeepakam,S R1 G2 M2 P D1 S,S D1 P M2 G2 R1 S
696,Vijayabhooshavali,S R1 G3 M2 P S,S N3 D3 P M2 G3 R1 S
697,44 Bhavapriya,S R1 G2 M2 P D1 N2 S,S N2 D1 P M2 G2 R1 S
698,Bhavani,S R1 G2 M2 D1 N2 S,S N2 D1 M2 G2 R1 S
699,Bhavani,S R1 G2 M2 P D1 P N2 S,S N2 D1 P M2 G2 R1 S
700,Kanchanavathi,S R1 G2 M2 P N2 S,S N2 P M2 G2 R1 S
701,45 Shubhapanthuvarali,S R1 G2 M2 P D1 N3 S,S N3 D1 P M2 G2 R1 S
702,Shivapanthuvarali,S R1 G2 M2 P D1 N3 S,S N3 D1 P M2 G2 R1 S
703,Arunangi,S R1 M2 P N3 D1 S,S N3 D1 M2 R1 G2 R1 S
704,Bandhuvarali,S M2 S N3 D1 P M2,D1 M2 G2 R1 S
705,Bhanudhanyasi,S R1 G2 M2 N3 D1 N3,D1 P M2 G2 R1 S N3 S
706,Bhanukeeravani,S R1 G2 M2 P D1 N3 S,S N3 D1 M2 G2 R1 S
707,Chayaranjani,S G2 M2 P N2 S,S N2 D1 P M2 G2 S
708,Dhowreyani,S R1 G2 M2 N3 S,S N3 D1 P M2 G2 R1 S
709,Hindusthani Todi,N3 R1 G2 M2 D1 N3 S,S N3 D1 P M2 G2 R1 S
710,Jalakesari,S R1 M2 P D1 N3 S,S D1 P M2 R1 S
711,Kumudhachandrika,S G2 M2 D1 S,S N3 D1 M2 G2 R1 S
712,Mahanandhini,S M2 G2 M2 P D1 N3 S,S D1 N3 D1 P M2 G2 R1 S
713,Parpathi,S G2 M2 P N3 S,S N3 P M2 G2 S
714,Shekharachandrika,S R1 G2 M2 D1 N3 S,S N3 D1 M2 G2 R1 S
715,46 Shadvidhamargini,S R1 G2 M2 P D2 N2 S,S N2 D2 P M2 G2 R1 S
716,Sthavarajam,S R1 M2 P D2 S,S N2 D2 M2 G2 S
717,Ganahemavati,S G2 M2 P N2 S,S N2 D2 P M2 G2 S
718,Indhudhanyasi,S G2 M2 D2 N2 S,S N2 D2 P D2 M2 G2 R1 S
719,Shreekanti,S G2 M2 P D2 N2 S,S N2 D2 P M2 G2 S
720,Teevravahini,S R1 G2 M2 P D2 P N2 S,S N2 D2 P M2 G2 R1 G2 M2 R1 S
721,47 Suvarnangi,S R1 G2 M2 P D2 N3 S,S N3 D2 P M2 G2 R1 S
722,Sowveeram,S R1 G2 M2 P D2 N3 S,S N3 D2 P M2 G2 R1 S
723,Abhiru,S R1 G2 R1 M2 P N3 S,S D2 P M2 G2 R1 G2 S
724,Rathika,S M2 G2 M2 P D2 N3 S,S N3 D2 P M2 G2 R1 S
725,Vijayashree,S R1 G2 M2 P N2 S,S N2 P M2 G2 R1 S
726,48 Divyamani,S R1 G2 M2 P D3 N3 S,S N3 D3 P M2 G2 R1 S
727,Jeevanthika,S M2 P D3 N3 S,S N3 P M2 G2 S
728,Deshamukhari,S R1 G2 M2 P D3 N3 D3 S,S D3 N3 D3 P M2 G2 R1 S
729,Dundubi,S R1 G2 M2 P D3 N3 S,S N3 P M2 G2 R1 S
730,Jeevanthini,S M2 P D3 N3 S,S N3 P M2 G2 S
731,Suddha Gandhari,S R1 G2 M2 N3 S,S N3 D3 N3 S N3 P M2 R1 S
732,49 Dhavalambari,S R1 G3 M2 P D1 N1 S,S N1 D1 P M2 G3 R1 S
733,Dhavalangam,S R1 G3 M2 P D1 S,S N1 D1 P M2 G3 R1 S
734,Abhiramam,S R1 M2 P D1 N1 S,S N1 D1 P M2 G2 R1 S
735,Bhinnapauarali,S M2 P D1 N1 D1 S,S N1 D1 P M2 G3 S
736,Dharmini,S R1 G3 M2 D1 N1 S,S N1 D1 M2 G3 R1 S
737,Sudharmini,S R1 M2 P D1 N1 S,S N1 D1 M1 G3 R2 S
738,50 Namanarayani,S R1 G3 M2 P D1 N2 S,S N2 D1 P M2 G3 R1 S
739,Namadeshi,S R1 G3 M2 P D1 N2 S,S N2 D1 P M2 G3 R1 S
740,Narmada,S R1 G3 M2 D1 N2 S,S N2 D1 M2 P M2 G3 R1 S
741,Swaramanjari,S G3 M2 P D1 S,S N2 D1 P M2 G3 S
742,51 Panthuvarali (Kamavardhani),S R1 G3 M2 P D1 N3 S,S N3 D1 P M2 G3 R1 S
743,Kashiramakriya,S G3 R1 G3 M2 P D1 N3 S,S N3 D1 P M1 G3 R1 S
744,Mandari,S R1 G3 M2 P N3 S,S N3 P M2 G3 R1 S
745,adhi Panchama,S R1 P D1 N3 S,S N3 D1 N3 P M2 G3 R1 S
746,Basant Bahar,S M2 P G3 M2 N3 D1 N3 S,R2 S N2 D2 P M1 G2 M1 G2 R2 S
747,Bhogavasantha,S R1 G3 M2 D1 N3 S,S N3 D1 M2 G3 R1 S
748,Deepakam,S R2 M2 P D1 P S,S N3 D1 N3 P M2 G3 R1 S
749,Gamakapriya,S R1 G3 M2 P N3 D1 S,S D1 P M2 G3 R1 S
750,Gamanapriya,S R1 G3 M2 P N3 D1 S,S D1 P M2 G3 R1 S
751,Hamsanarayani,S R1 G3 M2 P S,S N3 P M2 G3 R1 S
752,Indumathi,S G3 M2 D1 N3 S,S N3 D1 P M2 G3 S
753,Kamalaptapriya,S R1 G3 M2 P D1 S,S D1 P M2 G3 R1 S
754,Kumudhakriya,S R1 G3 M2 D1 S,S N3 D1 M2 G3 R1 S
755,Maruthi,S R1 M2 P N3 S,S N3 D1 P M2 G3 R1 S
756,Ponni,S G3 M2 P N3 S,S N3 P M2 G3 R1 S
757,Prathapa,S G3 M2 D1 N3 S,S N3 D1 P M2 G3 R1 S
758,Puriya Dhanashree,N3 R1 G3 M2 P D1 P N3 S,R1 N3 D1 P M2 G3 M2 R1 G3 R1 S
759,Tandavapriya,S R1 G3 M2 P S,S P M2 G3 R1 S
760,52 Ramapriya,S R1 G3 M2 P D2 N2 S,S N2 D2 P M2 G3 R1 S
761,Ramamanohari,S R1 G3 M2 P D2 S,S N2 D2 P M2 G3 R1 S
762,Chintaramani,S G3 M2 P D2 N2 S,S D2 P M2 G3 R1 S
763,Hamsagamini,S G3 M2 P D2 N2 S,S N2 D2 P M2 D2 P M2 G3 R1 S
764,Lokaranjani,S G3 M2 P M2 D2 N2 S,S N2 D2 N2 P M2 G3 R1 S
765,Meghashyamala,S G3 M2 P D2 N2 D2 P S,S N2 D2 P M2 G3 R1 S
766,Patalambari,S R1 G3 M2 D2 S,S D2 M2 G3 R1 S
767,Raktimargini,S P M2 D2 N2 S,S N2 D2 P M2 P G3 R1 S
768,Rasavinodini,S G3 M2 P D2 N2 S,S N2 D2 P M2 G3 S
769,Reethi Chandrika,S R1 G3 M2 P D2 S,S N2 D2 P M2 G3 R1 S
770,Seemantinipriya,S R1 G3 M2 D2 N2 S,S N2 D2 M2 G3 R1 S
771,Sukhakari,S R1 S P D2 N2 S,S N2 D2 P M2 G3 S R1 S
772,Vedhaswaroopi,S R1 G3 M2 P D2 N3 P S,S N3 D2 P N3 P M2 G3 S
773,53 Gamanashrama,S R1 G3 M2 P D2 N3 S,S N3 D2 P M2 G3 R1 S
774,Gamakakriya,S R1 G3 M2 P D2 S,S N3 D2 P M2 G3 R1 S
775,Alankari,S G3 M2 D2 N3 D2 S,S N3 D2 M2 G3 S
776,Bhatiyar,S D2 P D2 M2 P G3 M2 D2 S,R1 N3 D2 P M2 P G3 R1 S
777,Dvigandharabhooshani,S R1 G2 G3 G2 P D2 S,S D2 P G2 G3 G2 R1 S D2 S
778,Hamsanandi,S R1 G3 M2 D2 N3 S,S N3 D2 M2 G3 R1 S
779,Mechakangi,S R1 G3 M2 P D2 P N3 S,S N3 P D2 P M2 G3 R1 S
780,Padmakalyani,S G3 P N3 S,S N3 D2 P M2 G3 S
781,Poorvi Kalyani,S R1 G3 M2 P D2 P S,S N3 D2 P M2 G3 R1 S
782,Sharabadhvaja,S R1 G3 M2 P D2 S,S D2 P G3 R1 S
783,Sohini,S G3 M2 D2 N3 S,S N3 D2 M2 G3 R1 S
784,Vaishaka,S R1 G3 M2 P D2 N3 S,S N3 D2 N3 P M2 G3 M2 R1 S
785,54 Vishvambhari,S R1 G3 M2 P D3 N3 S,S N3 D3 P M2 G3 R1 S
786,Vamshavathi,S R1 G3 M2 P D3 N3 S,S N3 P M2 G3 R1 S
787,Hemangi,S R1 G3 M2 D3 S,S D3 M2 G3 R1 S
788,Pooshakalyani,S R1 G3 M2 P D3 N3 S,S N3 P M2 G3 R1 S
789,Sharadhyuthi,S R1 G3 M2 P D3 N3 D3 S,S N3 D3 P M2 G3 R1 S
790,Suddhakriya,S R1 M2 M2 P D3 S,S D3 P M2 G3 R1 S
791,Sundarangi,S R1 G3 P D3 N3 S,S N3 D3 P G3 R1 S
792,Vijayavasantham,S M2 P D3 N3 S,S N3 P M2 G3 S
793,55 Shyamalangi,S R2 G2 M2 P D1 N1 S,S N1 D1 P M2 G2 R2 S
794,Shyamalam,S R2 G2 M2 P D1 N1 S,S N1 D1 P M2 G2 R2 S
795,Deshavali,S R2 G2 M2 D1 N1 D1 S,S N1 D1 M2 G2 R2 S
796,Vijayamalavi,S R2 M2 P D1 S,S N1 D1 P M2 R2 S
797,56 Shanmukhapriyaa,S R2 G2 M2 P D1 N2 S,S N2 D1 P M2 G2 R2 S
798,Chamaram,S R2 M2 P D1 N2 S,S N2 D1 P M2 G2 R2 S
799,Bhashini,S G2 R2 G2 M2 P D1 N2 S,S N2 D1 P M2 G2 R1 S
800,Chintamani,S G2 R2 G2 M2 G2 R2 G2 P M2 P D2 N2 S,S N2 D2 P M2 G2 R2 S
801,Dhanakari,S G2 P D1 N2 S,S N2 D1 M2 G2 S
802,Garigadya,N2 S G2 M2 P D1 N2,D1 P M2 G2 R2 S
803,Gopikathilakam,S R2 G2 M2 P N2 S,S N2 P M2 G2 R2 S
804,Kokilanandhi,S G2 M2 D1 N2 S,S N2 D1 P M2 G2 S
805,Rajeshwari,S R2 G2 P N2 S,S N2 D1 P M1 G2 S
806,Samudrapriya,S G2 M2 P N2 S,S N2 P M2 G2 S
807,Shanmukhi (Trimoorti),S R1 G2 M2 D1 N2 S,S N2 D1 M2 G2 R1 S
808,Sumanasaranjani,S G2 M2 P N2 S,S N2 P M2 G2 S
809,Vasukari,S G2 M2 P D1 N2 S,S N2 D1 M2 G2 S
810,57 Simhendramadhyamam(Sumadhyuti),S R2 G2 M2 P D1 N3 S,S N3 D1 P M2 G2 R2 S
811,Anandavalli,S G2 M2 P N3 S,S N3 P M2 G2 S
812,Ghantana,S R2 G2 M2 D1 N3 S,S N3 D1 M2 G2 R2 S
813,Jayachoodamani,S G2 M2 P D1 S,S N3 D1 P M2 G2 R2 S
814,Pranavapriya,S R2 M2 P N3 S,S N3 P M2 G2 R2 S
815,Sarvangi,S R2 M2 D1 N3 S,S N3 D1 M2 G2 S R3 S
816,Seshanadam,S R2 G2 M2 P D1 S,S N3 D1 P M2 G2 R2 S
817,Suddha,S R2 G2 M2 P N3 S,S N3 P M2 G2 R2 S
818,Sunadapriya,S R2 G2 M2 P S,S N3 D1 P M2 G2 R2 S
819,Urmika,S R2 G2 M2 P N3 S,S N3 P M2 G2 R2 S
820,Vijayasaraswathi,S G2 M2 P D1 N3 S,S N3 P M2 G2 R2 S
821,58 Hemavathi,S R2 G2 M2 P D2 N2 S,S N2 D2 P M2 G2 R2 S
822,Deshisimharavam,S R2 G2 M2 P D2 N2 S,S N2 D2 P M2 G2 R2 S
823,Chandrarekha,S R2 G2 M2 P D2 S,S N2 D2 M2 G2 R2 S
824,Hamsabhramari,S R2 G2 M2 P D2 S,S N2 D2 P M2 G2 R2 S
825,Hemambari,S R2 G2 M2 P D2 N2 S,S P M2 G2 R2 S
826,Hemapriya,S R2 G2 M2 D2 S,S D2 M2 G2 R2 S
827,Kshemakari,S R2 M2 D2 N2 S,S N2 D2 M2 R2 S
828,Madhukowns,S G2 M2 P N2 P S,S N2 P M2 G3 S
829,Shakthiroopini,S G2 M2 D2 S,S N2 D2 M2 G2 S
830,Simharava,S R2 M2 P N2 S,S N2 P M2 R2 G2 R2 S
831,Vijayasaranga,S R2 G2 M2 P D2 S,S N2 D2 M2 G2 R2 S
832,Vijayashrangi,S R2 G2 M2 P D2 S,S N2 D2 M2 G2 R2 S
833,Yagini,S R2 M2 P N2 S,S N2 P M2 R2 S
834,59 Dharmavathi,S R2 G2 M2 P D2 N3 S,S N3 D2 P M2 G2 R2 S
835,Dhamavathi,S R2 G2 M2 P D2 N3 S,S N3 D2 P M2 G2 R2 S
836,Gowrikriya,S G2 M2 P D2 N3 S,S N3 D2 N3 P M2 G2 S
837,Karmukhavati,S R2 G2 M2 D2 N3 S,S N3 D2 M2 G2 R2 S
838,Karpoora Bharani,S R2 G2 P M2 P D2 S,S D2 P M2 P G2 R2 S
839,Lalitasimharavam,S R2 G2 M2 P S,S N3 P M2 G2 R2 S
840,Madhumalathi,N3 S G2 M2 P S,S N3 D2 P M2 G2 R2 S
841,Madhuvanthi,S G2 M2 P N3 S,S N3 D2 P M2 G2 R2 S
842,Moharanjani,S R2 G2 P D2 S,S N3 D2 M2 G2 S
843,Ranjani,S R2 G2 M2 D2 S,S N3 D2 M2 G2 S
844,Varada,S R2 M2 P N3 S,S N3 P M2 R2 S
845,Vijayanagari,S R2 G2 M2 P D2 S,S D2 P M2 G2 R2 S
846,Vishveshwarapriya,S R2 M2 P N3 S,S N3 D2 P M2 R2 S
847,60 Neethimathi,S R2 G2 M2 P D3 N3 S,S N3 D3 P M2 G2 R2 S
848,Nisshadham,S R2 G2 M2 P D3 N3 S,S N3 P M2 G2 R2 S
849,Amarasenapriya,S R2 M2 P N2 S,S N3 P M2 G2 R2 S
850,Deshyaganavaridhi,S R2 G2 M2 P D3 N3 P S,S N3 S P M2 G2 R2 S
851,Hamsanadam,S R2 M2 P D3 N3 S,S N3 D3 P M2 R2 S
851,Hamsanadam,S R2 M2 P N3 S,S N3 P M2 R2 S
852,Kaikavashi,S R2 G2 M2 P D3 N3 S,S N3 P M2 G2 R2 S
853,Nuthanachandrika,S R2 G2 M2 P D3 N3 S,S N3 P D3 N3 P M2 G2 S
854,Rathnasaranga,S R2 G2 M2 P N3 S,S N3 D3 P M2 G2 R2 S
855,61 Kanthamani,S R2 G3 M2 P D1 N1 S,S N1 D1 P M2 G3 R2 S
856,Kunthalam,S R2 G3 M2 P D1 S,S N1 D1 P M2 G3 R2 S
857,Kanakakusumavali,S R2 G3 M2 P D2 S,S D2 P M2 G3 R2 S
858,Shruthiranjani,S R2 G3 M2 P D1 N1,N1 D1 P M2 G3 R2 S
859,62 Rishabhapriya,S R2 G3 M2 P D1 N2 S,S N2 D1 P M2 G3 R2 S
860,Rathipriya,S R2 G3 M2 P D1 N2 S,S N2 D1 P M2 G3 R2 S
861,Gopriya,S R2 G3 M2 D1 N2 S,S N2 D1 M2 G3 R2 S
862,Poornasaveri,S R2 M2 P D1 S,S N2 D1 P M2 G3 R2 S
863,Rathnabhanu,S R2 M2 P N2 D1 N2 S,S N2 D1 P M2 G3 R2 S
864,Suddha Saranga,S G3 M2 P N2 S,S D1 P M2 G3 S
865,63 Lathangi,S R2 G3 M2 P D1 N3 S,S N3 D1 P M2 G3 R2 S
866,Geethapriya,S R2 G3 M2 P D1 N3 S,S N3 D1 P M2 G3 R2 S
867,Chitrachandrika,S G3 R2 G3 M2 P N3 D1 S,S N3 D1 M2 G3 R2 S
868,Hamsalatha,S R2 G3 P N3 S,S N3 D1 P M2 G3 R2 S
869,Kananapriya,S R2 G3 M2 P M2 D1 N3 S,S D1 N3 P M2 G3 R2 S
870,Karunakari,S M2 P D1 N3 D1 S,S N3 D1 P M2 S
871,Lalithangi,S R2 G3 M2 D1 N3 S,S N3 D1 M2 G3 R2 S
872,Ramani,S G3 M2 P N3 S,S N3 D1 P M2 G3 S
873,Rathnakanthi,S R2 G3 M2 P N3 S,S N3 P M2 G3 R2 S
874,Raviswaroopini,S G3 M2 P D1 N3 S,S N3 D1 P M2 G3 S
875,Sajjananandhi,S R2 G3 M2 P D1 N3 S,S N3 D1 M2 G3 R2 S
876,Skandamanorama,S R2 M2 P N3 S,S N3 P M2 R2 S
877,64 Vachaspathi,S R2 G3 M2 P D2 N2 S,S N2 D2 P M2 G3 R2 S
878,Bhooshavathi,S R2 G3 M2 P D2 N2 S,S N2 D2 P M2 G3 R2 S
879,Bhagavataranjana,S R2 M2 P D2 N2 S,S N2 D2 P M2 G3 R2 S
880,Bhogeeshwari,S R2 G3 P D2 N2 D2 S,S N2 D2 P M2 G3 R2 S
881,Bhooshavali,S R2 G3 M2 P D2 S,S N2 D2 P M2 G3 R2 S
882,Dwigandharabhooshani,S R1 G2 G3 G2 P D2 S,S D2 P G2 G3 G2 R1 S D2 S
883,Gaganamohini,S G3 P D2 N2 S,S N2 P M2 G3 S
884,Gurupriya,S R2 G3 M2 D2 N2 S,S N2 D2 M2 G3 R2 S
885,Hrdhini,S G3 M2 P N2 S,S N2 P M2 G3 S
886,Mangalakari,S R2 P M2 P D2 N2 S,S N2 D2 P G3 R2 S
887,Mukthidayini,S G3 M2 P D2 N2 S,S N2 D2 P M2 G3 S
888,Nadhabrahma,S P M2 P D2 N2 S,S N2 D2 P M2 G3 S
889,Pranavakari,P N2 D2 N2 S R2 G3 M2,P M2 G3 R2 S N2 D2 N2 P
890,Saraswathi,S R2 M2 P D2 S,S N2 D2 P M2 R2 S
891,Triveni,S R2 M2 P D2 N2 S,S N2 D2 P M2 R2 S
892,Utthari,S G3 M2 P D2 N2 S,S N2 D2 M2 G3 S
893,Vivahapriya,S R2 M2 P D2 N3 S,S N3 D2 P M2 R2 S
894,65 Mechakalyani,S R2 G3 M2 P D2 N3 S,S N3 D2 P M2 G3 R2 S
895,Shanthakalyani,S R2 G3 M2 P D2 N3 S,S N3 D2 P M2 G3 R2 S
896,Amritha Behag,S M2 G3 P N3 S,D2 N3 D2 M2 G3 S
897,Aprameya,S R2 M2 P D2 S,S N3 D2 M2 G3 M2 R2 S
898,Bhoopkalyani,S R2 G3 P D2 S,S N3 D2 P M2 G3 R2 S
899,Chandrakantha,S R2 G3 M2 P D2 N3 S,S N3 D2 N3 P M2 G3 R2 S
900,"Hameer (Kalyan, Yaman That Janya)",S R2 S G3 M1 D2 N3 D2 S,S N3 D2 N2 P G3 M1 D2 M2 P D2 P G3 M1 R2 S
901,Hameer Kalyani,S P M2 P D2 N3 S,S N3 D2 P M2 M1 G3 P M1 R2 S
901,Hameer Kalyani,S R2 S P M2 P D2 N3 S,S N3 D2 P M2 G3 M1 G3 R2 S
901,Hameer Kalyani,S R2 S P M2 N3 D2 S N3 S,S N3 D2 P M2 G M1 R2 S
