,Raga,Arohanam,Avarohanam
146,Margadesi,S R1 G3 R1 G3 D1 M1 P D1 S,S D1 P M1 G3 R1 S
147,Malahari,S R1 M1 P D1 S,S D1 P M1 G3 R1 S
148,Mallikavasantam,S G3 M1 P N3 S,S N3 D1 P M1 G3 R1 S
149,Mangalakaishiki,S R1 M1 G3 D1 P S,S N3 D1 P M1 G3 R1 S
150,Manolayam,S R1 M1 P D1 S,S N3 D1 P M1 R1 S
151,Maruva,S G3 M1 D1 N3 S,S N3 D1 P G3 M1 G3 R1 S R1 G3 R1 S
152,Mechabowli,S R1 G3 P D1 S,S N3 D1 P M1 G3 R1 S
153,Megharanjani,S R1 G3 M1 N3 S,S N3 M1 G3 R1 S
154,Nadanamakriya,S R1 G3 M1 P D1 N3,N3 D1 P M1 G3 R1 S N3
155,Padi,S R1 M1 P N3 S,S N3 P D1 P M1 R1 S
156,Pharaju (Paras),S G3 M1 P D1 N3 S,S N3 D1 P M1 G3 R1 S
157,Poornalalita,S R1 G3 M1 P D1 S,S D1 P M1 G3 R1 S
158,Poorvi,S R1 G3 M1 D1 N3 S,S N3 D1 P M1 G3 R1 S
159,Poorvikavasanta,S M1 G3 M1 D N3 S,S N3 D1 M1 P M1 G3 R1 S
160,Pratapadhanyasi,S G3 M1 P N3 S,S N3 D1 P M1 G3 R1 S
161,Prataparanjani,S R1 M1 P D1 N3 S,S N3 D1 P M1 G3 R1 S
162,Puranirmai,S R1 G3 P D1 S,S N3 D1 P G3 R1 S
163,Ramakali,S R1 G3 P D1 S,S N3 D1 P M1 G3 R1 S
164,Ramakriya,S G3 M1 P D1 N3 S,S N3 P D1 P M1 G3 R1 S
165,Revagupti,S R1 G3 P D1 S,S D1 P G3 R1 S
166,Rukhmambari,S R1 G3 P N3 S,S N3 P G3 R1 S
167,Samantadeepara,S R1 G3 M1 P N3 S,S N3 P M1 G3 R1 S
168,Saranga Nata,S R1 M1 P D1 S,S N3 S D1 P M1 G3 R1 S
169,Saveri,S R1 M1 P D1 S,S N3 D1 P M1 G3 R1 S
170,Salanganata,S R1 M1 P D1 S,S D1 P G3 R1 S
171,Satyavati,S G3 R1 G3 P D1 S,S N3 D1 N3 P D1 P G3 R1 S
172,Sindhu Ramakriya,S G3 M1 P D1 N3 S,S N3 P M1 G3 R1 G3 S
173,Surasindhu,S M1 G3 M1 P D1 N3 D1 S,S N3 D1 P M1 R1 G3 R1 S
174,Tarakagowla,S G3 M1 D1 N3 S,S N3 D1 M1 G3 S
175,Takka,S R1 S G3 M1 G3 P M1 D1 N3 S,S N3 D1 P M1 G3 R1 S
176,Ushavali,S R1 M1 P D1 S,S N3 D1 M1 P M1 R1 S
177,Visharada,S R1 M1 P N3 S,S N3 P M1 R1 S
178,16 Chakravakam,S R1 G3 M1 P D2 N2 S,S N2 D2 P M1 G3 R1 S
179,Toyavegavahini,S R1 G3 M1 P D2 N2 S,S N2 D2 P M1 G3 R1 S
180,Ahir Bhairavi,S R1 G3 M1 P N2 D2 M1 P D2 S,S N2 D2 P M1 P G3 R1 S
181,Bhakthapriya,S G3 M1 P D2 N2 S,S N2 D2 P M1 R1 M1 G3 S
182,Bhujangini,S R1 G3 M1 D2 N2 S,S N2 D2 M1 G3 R1 S
183,Bindhumalini,S G3 R1 G3 M1 P N2 S,S N2 S D2 P G3 M1 P G3 R1 S
184,Chakranarayani,S R1 M1 P D2 N2 S,S N2 D2 P M1 R1 S
185,Ghoshini,S M1 G3 M1 P D2 N2 D2 S,S N2 D2 P M1 G3 R1 S
186,Guhapriya,S R1 G3 M1 P P M1 D2 N2 S,S N2 D2 P M1 G3 S R1 S
187,Kalavati,S R1 M1 P D2 S,S D2 P M1 G3 S R1 S
188,Kokila,S R1 G3 M1 D2 N2 S,S N2 D2 M1 G3 R1 S
189,Malayamarutam,S R1 G3 P D2 N2 S,S N2 D2 P G3 R1 S
190,Mukthangi,S R1 G3 M1 P D2 N2 S,S D2 N2 P M1 G3 R1 S
191,Mukundamalini,S R1 G2 P D2 S,S D2 P G2 R1 S
192,Poornapanchamam,P M1 S R1 S M1 P D2,D2 P M1 G3 R1 S N2
193,Pravritti,S G3 M1 P D2 N2 S,S N2 D2 P M1 G3 S
194,Ragamanjari,S R1 M1 P D2 S,S N2 D2 M1 R1 S
195,Rasikaranjani,S R1 G3 P S,S D2 P G3 R1 S
196,Rudra Panchami,S G3 M1 D2 N2 S,S N3 D2 M1 G3 R1 S
197,Shree Nabhomargini,S G3 M1 P D2 N2 S,S D2 P M1 G3 R1 S
198,Shyamali,S G3 P D2 N2 S,S N2 D2 P G3 R1 S
199,Subhashini,S D2 N2 D R1 G3 M1 P,M1 G3 R1 S N2 D2 N2 S
200,Valaji,S G3 P D2 N2 S,S N2 D2 P G3 S
201,Veenadhari,S R1 G3 P D2 N2 S,S N2 D2 P M1 G3 R1 S
202,Vegavahini,S R1 G3 M1 D2 N2 D2 S,S N2 D2 P M1 G3 R1 S
203,17 Sooryakantam,S R1 G3 M1 P D2 N3 S,S N3 D2 P M1 G3 R1 S
204,Chayavathi,S R1 G3 M1 D2 N3 S,S N3 D2 P M1 G3 R1 S
205,Bhairavam,S R1 G3 M1 P D2 N3 S,S D2 P M1 G3 R1 S
